Character Name,Dialogue,lines
Hermione Granger,I went looking for the troll. I'd read about them and thought I could handle it. But I was wrong. If Harry and Ron hadn't come and found me...I'd probably be dead.,Hermione Granger: I went looking for the troll. I'd read about them and thought I could handle it. But I was wrong. If Harry and Ron hadn't come and found me...I'd probably be dead.
Quirinus Quirrell,Perhaps you ought to go...M-might wake up...heh.  Ahh! Hehe....,Quirinus Quirrell: Perhaps you ought to go...M-might wake up...heh.  Ahh! Hehe....
Harry Potter,Good for you to get us out of trouble like that.,Harry Potter: Good for you to get us out of trouble like that.
Ron Weasley,What are friends for?,Ron Weasley: What are friends for?
Harry Potter,I'm not hungry.,Harry Potter: I'm not hungry.
Harry Potter,That explains the blood.,Harry Potter: That explains the blood.
Hermione Granger,Blood?,Hermione Granger: Blood?
Hermione Granger,But why would anyone go near that dog?,Hermione Granger: But why would anyone go near that dog?
Hermione Granger,So you're saying...,Hermione Granger: So you're saying...
Harry Potter,That's what the dog's guarding. That's what Snape wants.,Harry Potter: That's what the dog's guarding. That's what Snape wants.
Harry Potter,But I-I never get mail.,Harry Potter: But I-I never get mail.
Ron Weasley,Let's open it.,Ron Weasley: Let's open it.
Harry Potter,It's a broomstick!,Harry Potter: It's a broomstick!
Harry Potter,But who...?,Harry Potter: But who...?
Harry Potter,A little.,Harry Potter: A little.
Oliver Wood,That's all right. I felt the same way before my first game.,Oliver Wood: That's all right. I felt the same way before my first game.
Harry Potter,What happened?,Harry Potter: What happened?
Neville Longbottom,Gryffindor!,Neville Longbottom: Gryffindor!
Lee Jordan,The players take their positions as Madam Hooch steps out onto the field to begin the game.,Lee Jordan: The players take their positions as Madam Hooch steps out onto the field to begin the game.
Lee Jordan,The Quaffle is released...and the game begins!,Lee Jordan: The Quaffle is released...and the game begins!
Lee Jordan,Angelina Johnson scores! 10 points for Gryffindor!,Lee Jordan: Angelina Johnson scores! 10 points for Gryffindor!
Harry Potter,Yes!  Whoa!,Harry Potter: Yes!  Whoa!
Rubeus Hagrid,Well done!,Rubeus Hagrid: Well done!
Lee Jordan,Slytherin takes possession of the Quaffle. Bletchley passes to Captain Marcus Flint.,Lee Jordan: Slytherin takes possession of the Quaffle. Bletchley passes to Captain Marcus Flint.
Ron Weasley,Yay!,Ron Weasley: Yay!
Seamus Finnigan,Yay!,Seamus Finnigan: Yay!
Harry Potter,Yes!,Harry Potter: Yes!
Lee Jordan,Another 10 points to Gryffindor!,Lee Jordan: Another 10 points to Gryffindor!
Gryffindors,Yay!,Gryffindors: Yay!
Marcus Flint,Give me that!,Marcus Flint: Give me that!
Marcus Flint,Take that side!,Marcus Flint: Take that side!
Harry Potter,Whoa! Whooa!,Harry Potter: Whoa! Whooa!
Rubeus Hagrid,What's going on with Harry's broomstick?,Rubeus Hagrid: What's going on with Harry's broomstick?
Hermione Granger,It's Snape! He's jinxing the broom!,Hermione Granger: It's Snape! He's jinxing the broom!
Ron Weasley,Jinxing the broom? What do we do?,Ron Weasley: Jinxing the broom? What do we do?
Hermione Granger,Leave it to me.,Hermione Granger: Leave it to me.
Hermione Granger,Lacarnum Inflamarae.,Hermione Granger: Lacarnum Inflamarae.
Man,Fire! You're on fire!,Man: Fire! You're on fire!
Severus Snape,What? Oh!,Severus Snape: What? Oh!
Ron Weasley,Go!,Ron Weasley: Go!
Rubeus Hagrid,Go go go!,Rubeus Hagrid: Go go go!
Rubeus Hagrid,Looks like he's gonna be sick!,Rubeus Hagrid: Looks like he's gonna be sick!
Lee Jordan,He's got the Snitch! Harry Potter receives 150 points for catching the Snitch!,Lee Jordan: He's got the Snitch! Harry Potter receives 150 points for catching the Snitch!
Rolanda Hooch,Gryffindor win!,Rolanda Hooch: Gryffindor win!
Draco Malfoy,No!,Draco Malfoy: No!
Rubeus Hagrid,Yes!,Rubeus Hagrid: Yes!
Hermione Granger,Whoo-hoo!,Hermione Granger: Whoo-hoo!
Crowd,Go go Gryffindor! Go go Gryffindor! Go go Gryffindor! Go go Gryffindor!,Crowd: Go go Gryffindor! Go go Gryffindor! Go go Gryffindor! Go go Gryffindor!
Rubeus Hagrid,Nonsense! Why would Snape put a curse on Harry's broom?,Rubeus Hagrid: Nonsense! Why would Snape put a curse on Harry's broom?
Harry Potter,Who knows? Why was he trying to get past that three-headed dog on Halloween?,Harry Potter: Who knows? Why was he trying to get past that three-headed dog on Halloween?
Rubeus Hagrid,Who told you about Fluffy?,Rubeus Hagrid: Who told you about Fluffy?
Ron Weasley,Fluffy?,Ron Weasley: Fluffy?
Hermione Granger,That thing has a name?,Hermione Granger: That thing has a name?
Harry Potter,Yes?,Harry Potter: Yes?
Rubeus Hagrid,Codswallop. Professor Snape is a Hogwarts teacher.,Rubeus Hagrid: Codswallop. Professor Snape is a Hogwarts teacher.
Harry Potter,Exactly.,Harry Potter: Exactly.
Harry Potter,Nicholas Flamel?,Harry Potter: Nicholas Flamel?
Rubeus Hagrid,I shouldn't said that. I should not have said that.,Rubeus Hagrid: I shouldn't said that. I should not have said that.
Harry Potter,Nicholas Flamel.  Who's Nicholas Flamel?,Harry Potter: Nicholas Flamel.  Who's Nicholas Flamel?
Hermione Granger,I don't know.,Hermione Granger: I don't know.
Man in a painting,Merry Christmas. Merry Christmas. Ring the Hogwart bell. Merry Christmas. Merry Christmas...,Man in a painting: Merry Christmas. Merry Christmas. Ring the Hogwart bell. Merry Christmas. Merry Christmas...
Harry Potter,Knight to E5.,Harry Potter: Knight to E5.
Ron Weasley,Queen to E5.,Ron Weasley: Queen to E5.
Hermione Granger,That's totally barbaric!,Hermione Granger: That's totally barbaric!
Ron Weasley,That's wizard's chess.  I see you've packed.,Ron Weasley: That's wizard's chess.  I see you've packed.
Hermione Granger,See you haven't.,Hermione Granger: See you haven't.
Ron Weasley,We've looked a hundred times.,Ron Weasley: We've looked a hundred times.
Hermione Granger,Not in the restricted section. Happy Christmas.,Hermione Granger: Not in the restricted section. Happy Christmas.
Ron Weasley,I think we've had a bad influence on her.,Ron Weasley: I think we've had a bad influence on her.
Ron Weasley,Oh. My mum made it.  It looks like you've got one too.,Ron Weasley: Oh. My mum made it.  It looks like you've got one too.
Harry Potter,I-I've got presents?,Harry Potter: I-I've got presents?
Ron Weasley,Yeah!,Ron Weasley: Yeah!
Ron Weasley,There they are.,Ron Weasley: There they are.
Harry Potter,Your father left this in my possession before he died. It is time it was returned to you. Use it well.,Harry Potter: Your father left this in my possession before he died. It is time it was returned to you. Use it well.
Ron Weasley,What is it?,Ron Weasley: What is it?
Harry Potter,It's some kind of cloak.,Harry Potter: It's some kind of cloak.
Ron Weasley,Whoa!,Ron Weasley: Whoa!
Harry Potter,My body's gone!,Harry Potter: My body's gone!
Ron Weasley,I know what that is. That's an invisibility cloak.,Ron Weasley: I know what that is. That's an invisibility cloak.
Harry Potter,I'm invisible?,Harry Potter: I'm invisible?
Ron Weasley,They're really rare.  I wonder who gave it to you?,Ron Weasley: They're really rare.  I wonder who gave it to you?
Harry Potter,There was no name. It just said use it well.,Harry Potter: There was no name. It just said use it well.
Harry Potter,Famous fire eaters...15th Century Fiends...Flamel...Nicholas Flamel...where are you?,Harry Potter: Famous fire eaters...15th Century Fiends...Flamel...Nicholas Flamel...where are you?
Argus Filch,Who's there?!  I know you're in there. You can't hide.  Who is it? Show yourself!,Argus Filch: Who's there?!  I know you're in there. You can't hide.  Who is it? Show yourself!
Quirinus Quirrell,Severus...I-I thought...,Quirinus Quirrell: Severus...I-I thought...
Quirinus Quirrell,W-what do you m-mean?,Quirinus Quirrell: W-what do you m-mean?
Severus Snape,You know perfectly well what I mean.  We'll have another chat soon...when you've had time to decide where your loyalties lie.,Severus Snape: You know perfectly well what I mean.  We'll have another chat soon...when you've had time to decide where your loyalties lie.
Harry Potter,Mum?  Dad?,Harry Potter: Mum?  Dad?
Ron Weasley,Why?,Ron Weasley: Why?
Ron Weasley,I only see me.,Ron Weasley: I only see me.
Harry Potter,How can it? Both my parents are dead.,Harry Potter: How can it? Both my parents are dead.
Ron Weasley,I'll be right back.  Want to play chess?,Ron Weasley: I'll be right back.  Want to play chess?
Harry Potter,No.,Harry Potter: No.
Ron Weasley,We go and visit Hagrid?,Ron Weasley: We go and visit Hagrid?
Harry Potter,No.,Harry Potter: No.
Hermione Granger,Look at you playing with your cards. Pathetic! We've got final exams coming up soon.,Hermione Granger: Look at you playing with your cards. Pathetic! We've got final exams coming up soon.
Ron Weasley,I'm ready! Ask me any question.,Ron Weasley: I'm ready! Ask me any question.
Ron Weasley,...I forgot.,Ron Weasley: ...I forgot.
Ron Weasley,Copy off you?,Ron Weasley: Copy off you?
Ron Weasley,That's insulting! It's as if they don't trust us!  Dumbledore again!,Ron Weasley: That's insulting! It's as if they don't trust us!  Dumbledore again!
